Number,Country,Total_Cases,New_Cases,Total_Deths,New_Death,Total_Recovered,New_Recovered,Active_Cases,Serious_Critical,Total_Cases_per_million,Total_death_per_million,Total_Tests,Tests_per_million,Population
141,Madagascar,66676,0,1410,0,65242,0,24,0,2285,48,512993,17581,29178077
142,Sudan,63285,0,4961,0,57290,0,1034,0,1376,108,562941,12240,45992020
143,Mauritania,62815,0,995,0,61790,0,30,0,12814,203,971727,198231,4901981
144,Cabo Verde,62374,0,410,0,61890,0,74,23,109876,722,401622,707482,567678
145,Bhutan,61730,0,21,0,61564,0,145,0,78343,27,2303734,2923739,787941
146,Syria,57302,0,3163,0,54091,0,48,0,2959,163,146269,7553,19364809
147,Burundi,50129,0,38,0,49559,0,532,0,3971,3,345742,27386,12624840
148,Gabon,48691,0,306,0,48292,0,93,0,20884,131,1616256,693216,2331533
149,Seychelles,47141,0,169,0,46446,0,526,0,474132,1700,0,0,99426
150,Andorra,46227,0,155,0,46011,0,61,14,596762,2001,249838,3225256,77463
151,Papua New Guinea,44997,0,668,0,43982,0,347,7,4842,72,249149,26813,9292169
152,Aruba,42914,0,227,0,42438,0,249,2,398796,2109,177885,1653068,107609
153,Mauritius,40478,0,1025,0,38843,0,610,0,31754,804,358675,281374,1274727
154,Mayotte,40261,0,187,0,0,0,0,0,140645,653,176919,618038,286259
155,Tanzania,39440,0,845,0,0,0,0,7,623,13,0,0,63298550
156,Togo,39053,0,285,0,38569,0,199,0,4499,33,792096,91247,8680837
157,Isle of Man,38008,0,116,0,0,0,0,0,443335,1353,150753,1758422,85732
158,Guinea,37652,0,449,0,36880,0,323,8,2715,32,660107,47607,13865691
159,Bahamas,37290,0,833,0,36094,0,363,2,93105,2080,248846,621314,400516
160,Faeroe Islands,34658,0,28,0,0,0,0,5,703959,569,778000,15802409,49233
161,Lesotho,34490,0,706,0,25980,0,7804,0,15852,324,431221,198199,2175699
162,Haiti,33733,0,857,0,31307,0,1569,0,2888,73,132422,11337,11680283
163,Mali,32638,0,742,0,31620,0,276,0,1520,35,759651,35376,21473764
164,Cayman Islands,30661,0,32,0,8553,0,22076,1,455743,476,222773,3311280,67277
165,Saint Lucia,29408,0,391,0,28475,0,542,0,158865,2112,210354,1136355,185113
166,Benin,27638,0,163,0,27322,0,153,5,2162,13,604310,47268,12784726
167,Somalia,27214,0,1352,0,13182,0,12680,0,1616,80,400466,23778,16841795
168,Congo,24837,0,386,0,24006,0,445,0,4284,67,347815,59991,5797805
169,Burkina Faso,21631,0,387,0,21143,0,101,0,979,18,248995,11265,22102838
170,Solomon Islands,21544,0,153,0,16357,0,5034,1,29874,212,5117,7096,721159
171,San Marino,20793,0,118,0,20531,0,144,4,610034,3462,157634,4624732,34085
172,Gibraltar,20095,0,108,0,16579,0,3408,0,596220,3204,534283,15852213,33704
173,Liechtenstein,19713,0,86,0,19403,0,224,2,513533,2240,102174,2661682,38387
174,Grenada,19536,0,237,0,19248,0,51,4,172161,2089,179808,1584560,113475
175,Nicaragua,18491,0,225,0,4225,0,14041,0,2728,33,0,0,6779100
176,Bermuda,18154,0,148,0,17969,0,37,0,293095,2389,1006083,16243126,61939
177,South Sudan,17823,0,138,0,17335,0,350,1,1534,12,410280,35313,11618511
178,Tajikistan,17786,0,125,0,17264,0,397,0,1786,13,0,0,9957464
179,Equatorial Guinea,17012,0,183,0,16690,0,139,5,11367,122,365697,244342,1496662
180,Tonga,16182,0,12,0,15638,0,532,0,150182,111,535009,4965327,107749
181,Samoa,15925,0,29,0,1605,0,14291,4,78743,143,187397,926612,202239
182,Dominica,15747,0,74,0,15651,0,22,0,217668,1023,228799,3162653,72344
183,Djibouti,15690,0,189,0,15427,0,74,0,15441,186,305941,301094,1016097
184,Marshall Islands,15275,0,17,0,15166,0,92,22,254342,283,0,0,60057
185,CAR,14913,0,113,0,14520,0,280,2,2973,23,81294,16205,5016678
186,Monaco,14622,0,63,0,14484,0,75,4,367544,1584,78646,1976875,39783
187,Gambia,12508,0,372,0,12028,0,108,0,4889,145,155686,60851,2558482
188,Saint Martin,11978,0,63,0,1399,0,10516,7,301485,1586,112382,2828643,39730
189,Greenland,11971,0,21,0,2761,0,9189,4,210117,369,164926,2894810,56973
190,Yemen,11935,0,2157,0,9124,0,654,23,383,69,329592,10579,31154867
191,Vanuatu,11933,0,14,0,11894,0,25,0,37078,44,24976,77606,321832
192,Caribbean Netherlands,11235,0,36,0,10476,0,723,0,421623,1351,30126,1130559,26647
193,Sint Maarten,10863,0,87,0,10773,0,3,10,247077,1979,62056,1411454,43966
194,Eritrea,10170,0,103,0,10065,0,2,0,2777,28,23693,6470,3662244
195,Micronesia,10083,0,31,0,174,0,9878,1,85821,264,21923,186596,117489
196,Niger,9931,0,312,0,8890,0,729,1,381,12,254538,9759,26083660
197,Antigua and Barbuda,9098,0,146,0,8923,0,29,1,91429,1467,18901,189943,99509
198,Comoros,8471,0,161,0,8305,0,5,0,9335,177,0,0,907419
199,Liberia,7961,0,294,0,7636,0,31,2,1501,55,139824,26356,5305117
200,Sierra Leone,7751,0,126,0,0,0,0,0,933,15,259958,31296,8306436
201,Chad,7583,0,193,0,4874,0,2516,0,435,11,191341,10988,17413580
202,British Virgin Islands,7305,0,64,0,0,0,0,0,238757,2092,107339,3508269,30596
203,Saint Kitts and Nevis,6541,0,46,0,6482,0,13,0,121420,854,124861,2317778,53871
204,Cook Islands,6389,0,1,0,6384,0,4,0,363610,57,19690,1120596,17571
205,Turks and Caicos,6380,0,36,0,6321,0,23,4,160539,906,550093,13841952,39741
206,Sao Tome and Principe,6230,0,77,0,6132,0,21,0,27363,338,29036,127530,227679
207,Palau,5460,0,6,0,5444,0,10,1,299457,329,64681,3547469,18233
208,Nauru,4611,0,1,0,4605,0,5,0,422911,92,20509,1881042,10903
209,Anguilla,3865,0,12,0,3848,0,5,4,253775,788,51382,3373736,15230
210,Kiribati,3430,0,13,0,2703,0,714,3,27792,105,0,0,123419
211,Saint Pierre Miquelon,3188,0,1,0,2449,0,738,1,553568,174,24902,4324015,5759
212,Falkland Islands,1886,0,0,0,1886,0,0,0,532919,0,8632,2439107,3539
213,Montserrat,1403,0,8,0,1376,0,19,0,282578,1611,17762,3577442,4965
214,Saint Helena,1355,0,0,0,2,0,1353,0,221586,0,0,0,6115
215,Macao,793,0,6,0,787,0,0,0,1188,9,7850,11760,667490
216,Wallis and Futuna,761,0,7,0,438,0,316,0,69295,637,20508,1867419,10982
217,Diamond Princess,712,0,13,0,699,0,0,0,0,0,0,0,0
218,Niue,80,0,0,0,80,0,0,0,49322,0,0,0,1622
219,Vatican City,29,0,0,0,29,0,0,0,36295,0,0,0,799
220,Tuvalu,20,0,0,0,0,0,20,0,1658,0,0,0,12066
221,Western Sahara,10,0,1,0,9,0,0,0,16,2,0,0,626161
222,MS Zaandam,9,0,2,0,7,0,0,0,0,0,0,0,0
223,China,250621,172,5226,0,242486,232,2909,31,173,4,160000000,110461,1448471400
